Codigo;Hacinamiento;VIvInconv;SanitarioNo;EscolaridadNO;SUbsiNo;NBISi
661540207;3.82;3.05;11.45;3.05;2.29;20.61
661540208;2.93;5.86;0.33;0.33;0.65;9.45
661540209;7.47;2.14;2.14;1.78;1.42;13.17
661540210;1.44;4.32;2.88;0.72;0;7.91
661540211;3.2;2.4;3.2;0;1.6;10.4
661540212;10.78;3.88;2.59;0.43;0;17.24
661540213;3.4;5.44;1.36;0;0.68;9.52
661610101;2.04;0;2.04;8.16;4.08;16.33
661610102;6.67;6.22;5.78;9.78;4.44;28.89
661610103;4.15;5.81;5.39;3.32;2.07;18.26
661610104;2.56;0;2.56;2.56;0;7.69
661610105;2.68;0;8.93;0;1.79;13.39
661610106;4;1.6;8.8;4;4;20.8
661610107;8.7;0;13.04;0;4.35;21.74
661610108;6.06;0;0;0;6.06;12.12
661610109;3.85;3.85;9.62;3.85;1.92;21.15
661610110;6.19;8.1;2.86;1.9;3.33;20.95
661610111;7.34;14.22;0.46;0.46;0.92;19.72
661610112;0;6.25;0;0;0;6.25
661610201;1.04;2.08;3.13;1.04;2.08;8.33
661610202;0;0;11.89;0.54;2.7;15.14
661610203;0;0;0;0;0;0
661610204;9.52;0;4.76;4.76;4.76;23.81
661610205;0.51;2.53;0;1.01;2.02;5.05
661610206;1.92;3.85;2.56;0;3.21;11.54
661610301;0;0;21.43;0;0;21.43
661610302;0;0;6.25;0;0;6.25
661610303;2.63;0;18.42;2.63;7.89;28.95
661610304;5.81;7.56;4.07;2.91;1.74;20.35
661610305;5;1.67;5;5;1.67;15
661610306;9.33;7.33;3.33;6;2.67;23.33
661610307;6.75;7.98;0.61;4.29;3.68;19.02
661610308;2.61;6.09;2.61;4.35;2.61;15.65
661610309;2.88;0;6.47;3.6;5.04;15.11
